Generated by http://statistics.gov.scot,2024-09-09T17:52:02+00:00,,
http://statistics.gov.scot/id/statistical-geography/S01007466,Alloa South and East - 06,14.82,16.29
http://statistics.gov.scot/id/statistical-geography/S01007476,Alloa West - 01,2.12,2.12
http://statistics.gov.scot/id/statistical-geography/S01007477,Alloa West - 02,31.48,42.71
http://statistics.gov.scot/id/statistical-geography/S01007478,Alloa West - 03,12.02,15.5
http://statistics.gov.scot/id/statistical-geography/S01007479,Alloa West - 04,2.68,2.8
http://statistics.gov.scot/id/statistical-geography/S01007480,Alloa West - 05,1.97,1.84
http://statistics.gov.scot/id/statistical-geography/S01012451,Alloway and Doonfoot - 01,3.18,3.22
http://statistics.gov.scot/id/statistical-geography/S01012452,Alloway and Doonfoot - 02,3.65,3.8
http://statistics.gov.scot/id/statistical-geography/S01012453,Alloway and Doonfoot - 03,5.25,6.57
http://statistics.gov.scot/id/statistical-geography/S01012454,Alloway and Doonfoot - 04,2.57,3.77
http://statistics.gov.scot/id/statistical-geography/S01012455,Alloway and Doonfoot - 05,0.79,0.87
http://statistics.gov.scot/id/statistical-geography/S01012456,Alloway and Doonfoot - 06,1.82,2.77
http://statistics.gov.scot/id/statistical-geography/S01012457,Alloway and Doonfoot - 07,3.49,3.6
http://statistics.gov.scot/id/statistical-geography/S01012458,Alloway and Doonfoot - 08,3.81,3.18
http://statistics.gov.scot/id/statistical-geography/S01010732,Alness - 01,1.86,1.75
http://statistics.gov.scot/id/statistical-geography/S01010733,Alness - 02,3.59,2.48
http://statistics.gov.scot/id/statistical-geography/S01010734,Alness - 03,2.19,1.97
http://statistics.gov.scot/id/statistical-geography/S01010735,Alness - 04,3.73,4.04
http://statistics.gov.scot/id/statistical-geography/S01010736,Alness - 05,0.71,0.77
http://statistics.gov.scot/id/statistical-geography/S01010737,Alness - 06,2.88,2.17
http://statistics.gov.scot/id/statistical-geography/S01010738,Alness - 07,0,0
http://statistics.gov.scot/id/statistical-geography/S01010739,Alness - 08,2.43,2.26
http://statistics.gov.scot/id/statistical-geography/S01007999,Altonhill North and Onthank - 01,12.21,12.14
http://statistics.gov.scot/id/statistical-geography/S01008000,Altonhill North and Onthank - 02,24.56,23.72
http://statistics.gov.scot/id/statistical-geography/S01008001,Altonhill North and Onthank - 03,20.89,20.66
http://statistics.gov.scot/id/statistical-geography/S01008002,Altonhill North and Onthank - 04,17,15.98
http://statistics.gov.scot/id/statistical-geography/S01008003,Altonhill North and Onthank - 05,5.33,10.09
http://statistics.gov.scot/id/statistical-geography/S01008004,Altonhill North and Onthank - 06,4.06,4.11
http://statistics.gov.scot/id/statistical-geography/S01008005,"Altonhill South, Longpark and Hillhead - 01",0,0.98
http://statistics.gov.scot/id/statistical-geography/S01008006,"Altonhill South, Longpark and Hillhead - 02",14.34,12.76
http://statistics.gov.scot/id/statistical-geography/S01008007,"Altonhill South, Longpark and Hillhead - 03",33.76,32.47
http://statistics.gov.scot/id/statistical-geography/S01008008,"Altonhill South, Longpark and Hillhead - 04",16.15,24.78
http://statistics.gov.scot/id/statistical-geography/S01008009,"Altonhill South, Longpark and Hillhead - 05",46.84,41.12
http://statistics.gov.scot/id/statistical-geography/S01008010,"Altonhill South, Longpark and Hillhead - 06",47.75,46.48
http://statistics.gov.scot/id/statistical-geography/S01008011,"Altonhill South, Longpark and Hillhead - 07",73.3,73.04
http://statistics.gov.scot/id/statistical-geography/S01007425,Alva - 01,16.86,17.91
http://statistics.gov.scot/id/statistical-geography/S01007426,Alva - 02,30.89,30.59
http://statistics.gov.scot/id/statistical-geography/S01007427,Alva - 03,18.88,17.97
http://statistics.gov.scot/id/statistical-geography/S01007428,Alva - 04,25.77,28.09
http://statistics.gov.scot/id/statistical-geography/S01007429,Alva - 05,20.44,19.66
http://statistics.gov.scot/id/statistical-geography/S01007430,Alva - 06,10.76,11.37
http://statistics.gov.scot/id/statistical-geography/S01007431,Alva - 07,13.08,12.59
http://statistics.gov.scot/id/statistical-geography/S01011975,Alyth - 01,2.48,2.54
http://statistics.gov.scot/id/statistical-geography/S01011976,Alyth - 02,4.62,4.53
http://statistics.gov.scot/id/statistical-geography/S01011977,Alyth - 03,1.84,1.82
http://statistics.gov.scot/id/statistical-geography/S01011978,Alyth - 04,6.05,5.92
http://statistics.gov.scot/id/statistical-geography/S01012342,Ancrum and Lanton Area,2.82,3.56
http://statistics.gov.scot/id/statistical-geography/S01010276,Anderston - 01,16.8,17.34
http://statistics.gov.scot/id/statistical-geography/S01010277,Anderston - 02,25.4,26.94
http://statistics.gov.scot/id/statistical-geography/S01010278,Anderston - 03,52.23,48.29
http://statistics.gov.scot/id/statistical-geography/S01010279,Anderston - 04,87.45,84.53
http://statistics.gov.scot/id/statistical-geography/S01010280,Anderston - 05,102.31,99.79
http://statistics.gov.scot/id/statistical-geography/S01010281,Anderston - 06,77.65,82.3
http://statistics.gov.scot/id/statistical-geography/S01007279,Angus Glens - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01007280,Angus Glens - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01007281,Angus Glens - 03,0.28,0.25
http://statistics.gov.scot/id/statistical-geography/S01007282,Angus Glens - 04,0.03,0.03
http://statistics.gov.scot/id/statistical-geography/S01007283,Angus Glens - 05,1.74,1.52
http://statistics.gov.scot/id/statistical-geography/S01007664,Annan East - 01,4.97,4.88
http://statistics.gov.scot/id/statistical-geography/S01007665,Annan East - 02,6.3,6.3
http://statistics.gov.scot/id/statistical-geography/S01007666,Annan East - 03,0.93,0.93
http://statistics.gov.scot/id/statistical-geography/S01007667,Annan East - 04,1.55,1.55
http://statistics.gov.scot/id/statistical-geography/S01007668,Annan East - 05,6.61,6.61
http://statistics.gov.scot/id/statistical-geography/S01007669,Annan East - 06,5.58,5.58
http://statistics.gov.scot/id/statistical-geography/S01007670,Annan East - 07,1.65,1.65
http://statistics.gov.scot/id/statistical-geography/S01007671,Annan East - 08,3.76,3.35
http://statistics.gov.scot/id/statistical-geography/S01007660,Annan West - 01,1.92,1.92
http://statistics.gov.scot/id/statistical-geography/S01007661,Annan West - 02,8.75,8.46
http://statistics.gov.scot/id/statistical-geography/S01007662,Annan West - 03,8.58,8.15
http://statistics.gov.scot/id/statistical-geography/S01007663,Annan West - 04,7.77,7.48
http://statistics.gov.scot/id/statistical-geography/S01007651,Annandale East - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01007652,Annandale East - 02,2.63,3.05
http://statistics.gov.scot/id/statistical-geography/S01007653,Annandale East - 03,9.27,10.06
http://statistics.gov.scot/id/statistical-geography/S01007654,Annandale East - 04,2.89,3.21
http://statistics.gov.scot/id/statistical-geography/S01007655,Annandale East - 05,0,0
http://statistics.gov.scot/id/statistical-geography/S01007656,Annandale West - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01007657,Annandale West - 02,0.49,0.49
http://statistics.gov.scot/id/statistical-geography/S01007658,Annandale West - 03,1.12,1.13
http://statistics.gov.scot/id/statistical-geography/S01007659,Annandale West - 04,1.51,1.51
http://statistics.gov.scot/id/statistical-geography/S01012535,"Annbank, Mossblown and Tarbolton - the Coalfields - 01",9.08,4.74
http://statistics.gov.scot/id/statistical-geography/S01012536,"Annbank, Mossblown and Tarbolton - the Coalfields - 02",4.51,2.82
http://statistics.gov.scot/id/statistical-geography/S01012537,"Annbank, Mossblown and Tarbolton - the Coalfields - 03",3.34,2.12
http://statistics.gov.scot/id/statistical-geography/S01012538,"Annbank, Mossblown and Tarbolton - the Coalfields - 04",7.11,6.14
http://statistics.gov.scot/id/statistical-geography/S01012539,"Annbank, Mossblown and Tarbolton - the Coalfields - 05",5.76,4.42
http://statistics.gov.scot/id/statistical-geography/S01012540,"Annbank, Mossblown and Tarbolton - the Coalfields - 06",6.07,4.66
http://statistics.gov.scot/id/statistical-geography/S01012541,"Annbank, Mossblown and Tarbolton - the Coalfields - 07",3.05,2.34
http://statistics.gov.scot/id/statistical-geography/S01010465,Anniesland East - 01,9.57,14.19
http://statistics.gov.scot/id/statistical-geography/S01010466,Anniesland East - 02,7.14,7.24
http://statistics.gov.scot/id/statistical-geography/S01010467,Anniesland East - 03,49.32,51.97
http://statistics.gov.scot/id/statistical-geography/S01010468,Anniesland East - 04,23.15,22.49
http://statistics.gov.scot/id/statistical-geography/S01010469,Anniesland East - 05,42.65,41.86
http://statistics.gov.scot/id/statistical-geography/S01010470,Anniesland West - 01,49.65,46.24
http://statistics.gov.scot/id/statistical-geography/S01010471,Anniesland West - 02,31.93,31.92
http://statistics.gov.scot/id/statistical-geography/S01010472,Anniesland West - 03,3.01,3.01
http://statistics.gov.scot/id/statistical-geography/S01010473,Anniesland West - 04,18.23,17.29
http://statistics.gov.scot/id/statistical-geography/S01010474,Anniesland West - 05,25.66,26.64
http://statistics.gov.scot/id/statistical-geography/S01010475,Anniesland West - 06,3.85,3.37
http://statistics.gov.scot/id/statistical-geography/S01010476,Anniesland West - 07,41.2,48.75
http://statistics.gov.scot/id/statistical-geography/S01010477,Anniesland West - 08,28.57,28.25
http://statistics.gov.scot/id/statistical-geography/S01009707,Anstruther,6,11.27
http://statistics.gov.scot/id/statistical-geography/S01009708,Anstruther East and Cellardyke,3.27,4.26
http://statistics.gov.scot/id/statistical-geography/S01009709,Anstruther South West,7.01,14.17
http://statistics.gov.scot/id/statistical-geography/S01009710,Anstruther Waid,3.26,7.49
http://statistics.gov.scot/id/statistical-geography/S01009711,Anstruther West,9.38,17.79
http://statistics.gov.scot/id/statistical-geography/S01007190,Arbroath Cliffburn - 01,10.56,8.78
http://statistics.gov.scot/id/statistical-geography/S01007191,Arbroath Cliffburn - 02,24.96,12.43
http://statistics.gov.scot/id/statistical-geography/S01007192,Arbroath Cliffburn - 03,19.19,11.1
http://statistics.gov.scot/id/statistical-geography/S01007193,Arbroath Cliffburn - 04,13.43,6.39
http://statistics.gov.scot/id/statistical-geography/S01007194,Arbroath Cliffburn - 05,12.62,10.37
http://statistics.gov.scot/id/statistical-geography/S01007195,Arbroath Cliffburn - 06,11.51,6.7
http://statistics.gov.scot/id/statistical-geography/S01007196,Arbroath Cliffburn - 07,7.22,5.52
http://statistics.gov.scot/id/statistical-geography/S01007184,Arbroath Harbour - 01,79.33,39.66
http://statistics.gov.scot/id/statistical-geography/S01007185,Arbroath Harbour - 02,32.57,13.82
http://statistics.gov.scot/id/statistical-geography/S01007186,Arbroath Harbour - 03,50.52,26.42
http://statistics.gov.scot/id/statistical-geography/S01007187,Arbroath Harbour - 04,38.1,25.51
http://statistics.gov.scot/id/statistical-geography/S01007188,Arbroath Harbour - 05,3.84,3.02
http://statistics.gov.scot/id/statistical-geography/S01007189,Arbroath Harbour - 06,14.4,10.12
http://statistics.gov.scot/id/statistical-geography/S01007180,Arbroath Keptie - 01,21.36,11.05
http://statistics.gov.scot/id/statistical-geography/S01007181,Arbroath Keptie - 02,5.91,4.25
http://statistics.gov.scot/id/statistical-geography/S01007182,Arbroath Keptie - 03,39.7,20.51
http://statistics.gov.scot/id/statistical-geography/S01007183,Arbroath Keptie - 04,28.94,15.26
http://statistics.gov.scot/id/statistical-geography/S01007173,Arbroath Kirkton - 01,12.72,5.86
http://statistics.gov.scot/id/statistical-geography/S01007174,Arbroath Kirkton - 02,8.64,4.95
http://statistics.gov.scot/id/statistical-geography/S01007175,Arbroath Kirkton - 03,16.35,9.82
http://statistics.gov.scot/id/statistical-geography/S01007176,Arbroath Kirkton - 04,23.51,14.06
http://statistics.gov.scot/id/statistical-geography/S01007177,Arbroath Kirkton - 05,30.94,16.1
http://statistics.gov.scot/id/statistical-geography/S01007178,Arbroath Kirkton - 06,37.75,19.73
http://statistics.gov.scot/id/statistical-geography/S01007179,Arbroath Kirkton - 07,14.85,8.21
http://statistics.gov.scot/id/statistical-geography/S01007170,Arbroath Landward - 01,0,0
http://statistics.gov.scot/id/statistical-geography/S01007171,Arbroath Landward - 02,2.62,1.67
http://statistics.gov.scot/id/statistical-geography/S01007172,Arbroath Landward - 03,2.36,1.14
http://statistics.gov.scot/id/statistical-geography/S01007197,Arbroath Warddykes - 01,7.77,7.21
http://statistics.gov.scot/id/statistical-geography/S01007198,Arbroath Warddykes - 02,20.54,10.64
http://statistics.gov.scot/id/statistical-geography/S01007199,Arbroath Warddykes - 03,16.09,8.49
http://statistics.gov.scot/id/statistical-geography/S01007200,Arbroath Warddykes - 04,7.93,5.06
http://statistics.gov.scot/id/statistical-geography/S01007201,Arbroath Warddykes - 05,15.71,10.04
http://statistics.gov.scot/id/statistical-geography/S01007202,Arbroath Warddykes - 06,15.83,9.12
http://statistics.gov.scot/id/statistical-geography/S01007203,Arbroath Warddykes - 07,9.16,4.86
http://statistics.gov.scot/id/statistical-geography/S01007857,Ardler and St Marys - 01,45.01,22.88
http://statistics.gov.scot/id/statistical-geography/S01007858,Ardler and St Marys - 02,40.41,20.19
http://statistics.gov.scot/id/statistical-geography/S01007859,Ardler and St Marys - 03,41.78,16.95
http://statistics.gov.scot/id/statistical-geography/S01007860,Ardler and St Marys - 04,32.49,14.69
http://statistics.gov.scot/id/statistical-geography/S01007861,Ardler and St Marys - 05,59.55,27.58
http://statistics.gov.scot/id/statistical-geography/S01007862,Ardler and St Marys - 06,51.19,23.49
http://statistics.gov.scot/id/statistical-geography/S01007863,Ardler and St Marys - 07,52.11,27.26
http://statistics.gov.scot/id/statistical-geography/S01007864,Ardler and St Marys - 08,46.98,27.85
http://statistics.gov.scot/id/statistical-geography/S01011242,Ardrossan Central - 01,26.1,22.02
http://statistics.gov.scot/id/statistical-geography/S01011243,Ardrossan Central - 02,51.89,46.4
http://statistics.gov.scot/id/statistical-geography/S01011244,Ardrossan Central - 03,48.86,42.34
http://statistics.gov.scot/id/statistical-geography/S01011245,Ardrossan Central - 04,27.32,25.33
http://statistics.gov.scot/id/statistical-geography/S01011250,Ardrossan North East - 01,37.63,45.74
http://statistics.gov.scot/id/statistical-geography/S01011251,Ardrossan North East - 02,34.87,33.06
http://statistics.gov.scot/id/statistical-geography/S01011252,Ardrossan North East - 03,26.04,25.96
http://statistics.gov.scot/id/statistical-geography/S01011253,Ardrossan North East - 04,48.96,48.62
http://statistics.gov.scot/id/statistical-geography/S01011254,Ardrossan North East - 05,8.16,8.62
http://statistics.gov.scot/id/statistical-geography/S01011246,Ardrossan North West - 01,18.76,17.97
http://statistics.gov.scot/id/statistical-geography/S01011247,Ardrossan North West - 02,6.95,6.53
http://statistics.gov.scot/id/statistical-geography/S01011248,Ardrossan North West - 03,10.47,10.81
http://statistics.gov.scot/id/statistical-geography/S01011249,Ardrossan North West - 04,15.75,17.85
http://statistics.gov.scot/id/statistical-geography/S01013383,Armadale - 01,21.88,35.48
http://statistics.gov.scot/id/statistical-geography/S01013384,Armadale - 02,12.32,26.14
http://statistics.gov.scot/id/statistical-geography/S01013385,Armadale - 03,10.77,21.37
http://statistics.gov.scot/id/statistical-geography/S01013386,Armadale - 04,4.45,8.1
http://statistics.gov.scot/id/statistical-geography/S01013387,Armadale - 05,9.08,18.43
http://statistics.gov.scot/id/statistical-geography/S01013388,Armadale - 06,26.92,43.48
http://statistics.gov.scot/id/statistical-geography/S01013389,Armadale - 07,7.07,12.34
http://statistics.gov.scot/id/statistical-geography/S01013390,Armadale - 08,11.02,18.02
http://statistics.gov.scot/id/statistical-geography/S01013391,Armadale - 09,8.92,14.78
http://statistics.gov.scot/id/statistical-geography/S01013392,Armadale South - 01,3.53,4.65
http://statistics.gov.scot/id/statistical-geography/S01013393,Armadale South - 02,12.32,26.63
http://statistics.gov.scot/id/statistical-geography/S01013394,Armadale South - 03,10.68,25.62
http://statistics.gov.scot/id/statistical-geography/S01013395,Armadale South - 04,13,42.62
http://statistics.gov.scot/id/statistical-geography/S01013396,Armadale South - 05,1.83,5.98
http://statistics.gov.scot/id/statistical-geography/S01013397,Armadale South - 06,8.7,25.26
http://statistics.gov.scot/id/statistical-geography/S01013398,Armadale South - 07,7.33,23.62
http://statistics.gov.scot/id/statistical-geography/S01013399,Armadale South - 08,6.73,12.11
http://statistics.gov.scot/id/statistical-geography/S01011171,Arran - 01,1.04,1.03
http://statistics.gov.scot/id/statistical-geography/S01011172,Arran - 02,1.02,0.95
http://statistics.gov.scot/id/statistical-geography/S01011173,Arran - 03,2.22,2.05
http://statistics.gov.scot/id/statistical-geography/S01011174,Arran - 04,1.23,1.13
http://statistics.gov.scot/id/statistical-geography/S01011175,Arran - 05,2.4,2.25
http://statistics.gov.scot/id/statistical-geography/S01011176,Arran - 06,2.83,2.73
http://statistics.gov.scot/id/statistical-geography/S01011177,Arran - 07,2.76,2.6
http://statistics.gov.scot/id/statistical-geography/S01008318,Arthurlie and Gateside - 01,3.03,3.1
http://statistics.gov.scot/id/statistical-geography/S01008319,Arthurlie and Gateside - 02,10.74,8.72
http://statistics.gov.scot/id/statistical-geography/S01008320,Arthurlie and Gateside - 03,8.53,8.53
http://statistics.gov.scot/id/statistical-geography/S01008321,Arthurlie and Gateside - 04,10.24,5.12
http://statistics.gov.scot/id/statistical-geography/S01008322,Arthurlie and Gateside - 05,14.27,13.79
http://statistics.gov.scot/id/statistical-geography/S01012653,Ashgill and Netherburn - 01,5.22,5.22
http://statistics.gov.scot/id/statistical-geography/S01012654,Ashgill and Netherburn - 02,4.19,4.19
http://statistics.gov.scot/id/statistical-geography/S01012655,Ashgill and Netherburn - 03,8.33,8.33
http://statistics.gov.scot/id/statistical-geography/S01006653,Ashgrove - 01,64.89,49.19
http://statistics.gov.scot/id/statistical-geography/S01006654,Ashgrove - 02,60.06,47.18
http://statistics.gov.scot/id/statistical-geography/S01006655,Ashgrove - 03,23.55,15.44
http://statistics.gov.scot/id/statistical-geography/S01006656,Ashgrove - 04,107.79,78.05
http://statistics.gov.scot/id/statistical-geography/S01006657,Ashgrove - 05,183.61,158.93
http://statistics.gov.scot/id/statistical-geography/S01012376,Ashkirk Lilliesleaf and Midlem Area,0,0
http://statistics.gov.scot/id/statistical-geography/S01008323,Auchenback - 01,41.8,41.8
http://statistics.gov.scot/id/statistical-geography/S01008324,Auchenback - 02,28.61,28.61
http://statistics.gov.scot/id/statistical-geography/S01008325,Auchenback - 03,36.19,36.19
http://statistics.gov.scot/id/statistical-geography/S01008326,Auchenback - 04,40.42,41.36
http://statistics.gov.scot/id/statistical-geography/S01008327,Auchenback - 05,44.37,44.37
http://statistics.gov.scot/id/statistical-geography/S01008102,Auchinairn - 01,6.64,4.97
http://statistics.gov.scot/id/statistical-geography/S01008103,Auchinairn - 02,13.43,13.86
http://statistics.gov.scot/id/statistical-geography/S01008104,Auchinairn - 03,1.34,1.67
http://statistics.gov.scot/id/statistical-geography/S01008105,Auchinairn - 04,23.33,20.1
http://statistics.gov.scot/id/statistical-geography/S01008106,Auchinairn - 05,45.97,38.6
http://statistics.gov.scot/id/statistical-geography/S01008107,Auchinairn - 06,12.12,6.54
http://statistics.gov.scot/id/statistical-geography/S01007921,Auchinleck - 01,2.57,4.34
http://statistics.gov.scot/id/statistical-geography/S01007922,Auchinleck - 02,10.71,12.39
http://statistics.gov.scot/id/statistical-geography/S01007923,Auchinleck - 03,14.28,8.88
http://statistics.gov.scot/id/statistical-geography/S01007924,Auchinleck - 04,10.92,8.26
http://statistics.gov.scot/id/statistical-geography/S01009574,Auchmuty Dovecot and Town Centre,38.05,72.19
http://statistics.gov.scot/id/statistical-geography/S01009573,Auchmuty East,35.12,48.71
http://statistics.gov.scot/id/statistical-geography/S01009571,Auchmuty North West,36.08,72.19
http://statistics.gov.scot/id/statistical-geography/S01009572,Auchmuty West,19.52,76.72
http://statistics.gov.scot/id/statistical-geography/S01007061,Auchnagatt - 01,0.05,0.07
http://statistics.gov.scot/id/statistical-geography/S01007062,Auchnagatt - 02,0,0
http://statistics.gov.scot/id/statistical-geography/S01007063,Auchnagatt - 03,1.54,1.26
http://statistics.gov.scot/id/statistical-geography/S01007064,Auchnagatt - 04,0.43,0.54
http://statistics.gov.scot/id/statistical-geography/S01011852,Auchterarder - 01,5.23,6.32
http://statistics.gov.scot/id/statistical-geography/S01011853,Auchterarder - 02,2.36,2.74
http://statistics.gov.scot/id/statistical-geography/S01011854,Auchterarder - 03,5.25,6.01
http://statistics.gov.scot/id/statistical-geography/S01011855,Auchterarder - 04,3.36,3.86
